放大器类型,维度组合,总单量,取消量,取消率,ADR中位数,参照
高取消率+长提前期,lead_time_bucket=91-180,26439,11821,0.4471,,提前期 0-7 天组取消率 9.63%（仅相关联，非因果）
高取消率+长提前期,lead_time_bucket=180+,24692,14077,0.5701,,提前期 0-7 天组取消率 9.63%（仅相关联，非因果）
