变量,chi2,自由度,p值,Cramér_V,样本量,显著性,关联强度
lead_time,11940.0574,4,0.0,0.3162,119390,***,强
deposit_type,27677.3292,2,0.0,0.4815,119390,***,强
market_segment,8497.2241,7,0.0,0.2668,119390,***,中
distribution_channel,3745.7941,4,0.0,0.1771,119390,***,中
customer_type,2222.5042,3,0.0,0.1364,119390,***,中
hotel,2224.9249,1,0.0,0.1365,119390,***,中
reserved_room_type,647.8351,9,1.121956218424043e-133,0.0737,119390,***,弱
assigned_room_type,4918.6934,11,0.0,0.203,119390,***,中
